label,REAL.DEPTH
Particles,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Background,45.7
Particles,45.7
Pentaneurini spp,45.7
Background,45.7
Background,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Background,45.7
Corynoneura spp,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Background,45.7
Micropsectra radialis,45.7
Background,45.7
Psectrocladius spp,45.7
Particles,45.7
Background,45.7
Corynoneura spp,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Background,45.7
Fragmented hc,45.7
Particles,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Background,45.7
Pollen,45.7
Particles,45.7
Psectrocladius spp,45.7
Pollen,45.7
Particles,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Particles,45.7
Multiple,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Tanypodinae,45.7
Particles,45.7
Corynoneura spp,45.7
Background,45.7
Psectrocladius spp,45.7
Particles,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Background,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Corynoneura spp,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Particles,45.7
Background,45.7
Corynoneura spp,45.7
Fragmented hc,45.7
Corynoneura spp,45.7
Pollen,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Pollen,45.7
Background,45.7
Background,45.7
Psectrocladius spp,45.7
Background,45.7
Background,45.7
Background,45.7
Particles,45.7
Fragmented hc,45.7
Pollen,45.7
Background,45.7
Background,45.7
Orthocladiinae Diamesinae,45.7
Particles,45.7
Psectrocladius spp,45.7
Background,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Background,45.7
Particles,45.7
Background,45.7
Pollen,45.7
Background,45.7
Background,45.7
Particles,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Corynoneura spp,45.7
Pollen,45.7
Pollen,45.7
Background,45.7
Tanypodinae,45.7
Pollen,45.7
Particles,45.7
Particles,45.7
Background,45.7
Psectrocladius spp,45.7
Background,45.7
Background,45.7
Particles,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Fragmented hc,45.7
Background,45.7
Particles,45.7
Psectrocladius spp,45.7
Background,45.7
Background,45.7
Multiple,45.7
Fragmented hc,45.7
Background,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Background,45.7
Background,45.7
Background,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Blurry specimens,45.7
Blurry specimens,45.7
Background,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Blurry specimens,45.7
Particles,45.7
Fragmented hc,45.7
Corynoneura spp,45.7
Fragmented hc,45.7
Blurry specimens,45.7
Background,45.7
Corynoneura spp,45.7
Fragmented hc,45.7
Pollen,45.7
Corynoneura spp,45.7
Corynoneura spp,45.7
Pollen,45.7
Particles,45.7
Background,45.7
Background,45.7
Corynoneura spp,45.7
Pollen,45.7
Psectrocladius spp,45.7
Pollen,45.7
Background,45.7
Particles,45.7
Pollen,45.7
Pollen,45.7
Psectrocladius spp,45.7
Pollen,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Chaoborus mandible,45.7
Corynoneura spp,45.7
Pollen,45.7
Background,45.7
Psectrocladius spp,45.7
Pollen,45.7
Pollen,45.7
Pollen,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Background,45.7
Pollen,45.7
Background,45.7
Background,45.7
Pollen,45.7
Psectrocladius spp,45.7
Pollen,45.7
Pollen,45.7
Pollen,45.7
Pollen,45.7
Psectrocladius spp,45.7
Pollen,45.7
Pollen,45.7
Fragmented hc,45.7
Pollen,45.7
Background,45.7
Psectrocladius spp,45.7
Background,45.7
Psectrocladius spp,45.7
Particles,45.7
Fragmented hc,45.7
Pollen,45.7
Psectrocladius spp,45.7
Background,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Background,45.7
Particles,45.7
Psectrocladius spp,45.7
Pollen,45.7
Pollen,45.7
Psectrocladius spp,45.7
Particles,45.7
Pollen,45.7
Psectrocladius spp,45.7
Blurry specimens,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Blurry specimens,45.7
Pollen,45.7
Psectrocladius spp,45.7
Pollen,45.7
Background,45.7
Pollen,45.7
Psectrocladius spp,45.7
Background,45.7
Background,45.7
Background,45.7
Background,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Fragmented hc,45.7
Particles,45.7
Corynoneura spp,45.7
Pollen,45.7
Particles,45.7
Psectrocladius spp,45.7
Blurry specimens,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Background,45.7
Particles,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Corynoneura spp,45.7
Particles,45.7
Corynoneura spp,45.7
Fragmented hc,45.7
Pollen,45.7
Fragmented hc,45.7
Fragmented hc,45.7
Psectrocladius spp,45.7
Psectrocladius spp,45.7
Corynoneura spp,45.7
Background,45.7
Corynoneura spp,45.7
