Depth,Taxa
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Heterotrissocladius marcidus
11.5,Background
11.5,Heterotrissocladius marcidus
11.5,Fragmented hc
11.5,Micropsectra radialis
11.5,Micropsectra radialis
11.5,Background
11.5,Fragmented hc
11.5,Heterotrissocladius marcidus
11.5,Fragmented hc
11.5,Heterotrissocladius marcidus
11.5,Background
11.5,Background
11.5,Chironomus spp
11.5,Diatom
11.5,Background
11.5,Micropsectra radialis
11.5,Fragmented hc
11.5,Background
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Background
11.5,Background
11.5,Heterotrissocladius marcidus
11.5,Particles
11.5,Background
11.5,Background
11.5,Background
11.5,Fragmented hc
11.5,Micropsectra radialis
11.5,Background
11.5,Heterotrissocladius marcidus
11.5,Micropsectra radialis
11.5,Background
11.5,Background
11.5,Fragmented hc
11.5,Multiple
11.5,Background
11.5,Heterotrissocladius marcidus
11.5,Micropsectra radialis
11.5,Fragmented hc
11.5,Background
11.5,Fragmented hc
11.5,Background
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Fragmented hc
11.5,Particles
12.5,Heterotrissocladius marcidus
12.5,Heterotrissocladius marcidus
12.5,Microtendipes pedellus
12.5,Corynoneura spp
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Pentaneurini spp
12.5,Fragmented hc
12.5,Background
12.5,Fragmented hc
12.5,Heterotrissocladius marcidus
12.5,Multiple
12.5,Micropsectra radialis
12.5,Micropsectra insignilobus
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Multiple
12.5,Micropsectra insignilobus
12.5,Tanytarsus spp
12.5,Fragmented hc
12.5,Multiple
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,Tanypodinae
12.5,Background
12.5,Micropsectra radialis
12.5,Psectrocladius spp
12.5,Multiple
12.5,Tanypodinae
12.5,Fragmented hc
12.5,Heterotrissocladius marcidus
12.5,Corynoneura spp
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Mandible
12.5,Fragmented hc
12.5,Corynoneura spp
12.5,Fragmented hc
12.5,Mandible
12.5,Particles
12.5,Background
12.5,Background
12.5,Pentaneurini spp
12.5,Fragmented hc
12.5,Multiple
12.5,Pentaneurini spp
12.5,Fragmented hc
12.5,Multiple
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Fragmented hc
12.5,unsure
12.5,Fragmented hc
12.5,Background
12.5,Particles
12.5,Fragmented hc
12.5,Particles
12.5,Multiple
12.5,Background
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Fragmented hc
12.5,Micropsectra radialis
12.5,Chaoborus mandible
12.5,Fragmented hc
12.5,Corynoneura spp
