"","Lake","Temperature","Depth","Taxa_lake","Taxa","size","count","data_type"
"127","laguna de Rio Seco",9.869083358,121.15,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",560.8873596,23,"downcore"
"128","laguna de Rio Seco",9.869083358,121.15,"Tanypodinae.laguna de Rio Seco","Tanypodinae",442.321411,16,"downcore"
"129","laguna de Rio Seco",9.869083358,121.15,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",572.523193,17,"downcore"
"130","laguna de Rio Seco",9.869083358,121.15,"Microtendipes pedellus.laguna de Rio Seco","Microtendipes pedellus",81.904121,1,"downcore"
"131","laguna de Rio Seco",9.869083358,121.15,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",537.3667803,22,"downcore"
"132","laguna de Rio Seco",9.869083358,121.15,"Pentaneurini spp.laguna de Rio Seco","Pentaneurini spp",368.3948667,7,"downcore"
"133","laguna de Rio Seco",9.869083358,121.15,"Heterotrissocladius marcidus.laguna de Rio Seco","Heterotrissocladius marcidus",1092.455322,11,"downcore"
"134","laguna de Rio Seco",9.879802882,117,"Corynoneura spp.laguna de Rio Seco","Corynoneura spp",339.438278,21,"downcore"
"135","laguna de Rio Seco",9.879802882,117,"Tanypodinae.laguna de Rio Seco","Tanypodinae",197.740967,16,"downcore"
"136","laguna de Rio Seco",9.879802882,117,"Micropsectra radialis.laguna de Rio Seco","Micropsectra radialis",551.0658985,23,"downcore"
"137","laguna de Rio Seco",9.879802882,117,"Orthocladiinae Diamesinae.laguna de Rio Seco","Orthocladiinae Diamesinae",1188.750366,17,"downcore"
"138","laguna de Rio Seco",9.879802882,117,"Tanytarsus spp.laguna de Rio Seco","Tanytarsus spp",449.135376,2,"downcore"
"139","laguna de Rio Seco",9.879802882,117,"Psectrocladius spp.laguna de Rio Seco","Psectrocladius spp",581.8133299,22,"downcore"
"140","Laguna Roya",10.41655078,753.5,"Pentaneurini spp.Laguna Roya","Pentaneurini spp",591.7500004,12,"downcore"
"141","Laguna Roya",10.41655078,753.5,"Tanytarsus lugens.Laguna Roya","Tanytarsus lugens",356.2875936,17,"downcore"
"142","Laguna Roya",10.41655078,753.5,"Limnophyes type.Laguna Roya","Limnophyes type",144.0194909,5,"downcore"
"143","Laguna Roya",10.41655078,753.5,"Paratanytarsus austriacus.Laguna Roya","Paratanytarsus austriacus",249.673745,7,"downcore"
"144","Laguna Roya",10.41655078,753.5,"Chaoborus mandible.Laguna Roya","Chaoborus mandible",214.6083279,31,"downcore"
"145","Laguna Roya",10.41655078,753.5,"Microtendipes pedellus.Laguna Roya","Microtendipes pedellus",353.493586,13,"downcore"
"146","Laguna Roya",10.41655078,753.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",363.5093383,35,"downcore"
"147","Laguna Roya",10.41655078,753.5,"Tanypodinae.Laguna Roya","Tanypodinae",436.1344419,25,"downcore"
"148","Laguna Roya",10.43368465,710.5,"Tanytarsus lugens.Laguna Roya","Tanytarsus lugens",363.8479707,17,"downcore"
"149","Laguna Roya",10.43368465,710.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",246.1315807,35,"downcore"
"150","Laguna Roya",10.43368465,710.5,"Pentaneurini spp.Laguna Roya","Pentaneurini spp",430.1433206,12,"downcore"
"151","Laguna Roya",10.43368465,710.5,"Micropsectra radialis.Laguna Roya","Micropsectra radialis",336.3735428,11,"downcore"
"152","Laguna Roya",10.43368465,710.5,"Psectrocladius spp.Laguna Roya","Psectrocladius spp",396.2742915,8,"downcore"
"153","Laguna Roya",10.43368465,710.5,"Tanypodinae.Laguna Roya","Tanypodinae",1014.961538,25,"downcore"
"154","Laguna Roya",10.43368465,710.5,"Microtendipes pedellus.Laguna Roya","Microtendipes pedellus",199.7627701,13,"downcore"
"155","Laguna Roya",10.48819461,703.5,"Tanypodinae.Laguna Roya","Tanypodinae",270.2879681,25,"downcore"
"156","Laguna Roya",10.48819461,703.5,"Psectrocladius spp.Laguna Roya","Psectrocladius spp",422.0183057,8,"downcore"
"157","Laguna Roya",10.48819461,703.5,"Pentaneurini spp.Laguna Roya","Pentaneurini spp",461.9984573,12,"downcore"
"158","Laguna Roya",10.48819461,703.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",252.3068294,35,"downcore"
"159","Laguna Roya",10.48819461,703.5,"Paratanytarsus austriacus.Laguna Roya","Paratanytarsus austriacus",288.9087895,7,"downcore"
"160","Laguna Roya",10.48819461,703.5,"Orthocladiinae Diamesinae.Laguna Roya","Orthocladiinae Diamesinae",531.1253954,1,"downcore"
"161","Laguna Roya",10.48819461,703.5,"Microtendipes pedellus.Laguna Roya","Microtendipes pedellus",170.7368916,13,"downcore"
"162","Laguna Roya",10.48819461,703.5,"Limnophyes type.Laguna Roya","Limnophyes type",251.6438798,5,"downcore"
"163","Laguna Roya",10.48819461,703.5,"Chaoborus mandible.Laguna Roya","Chaoborus mandible",246.2556692,31,"downcore"
"164","Laguna Roya",10.48819461,703.5,"Heterotrissocladius marcidus.Laguna Roya","Heterotrissocladius marcidus",349.5544743,2,"downcore"
"165","Laguna Roya",10.48819461,703.5,"Micropsectra radialis.Laguna Roya","Micropsectra radialis",178.7734787,11,"downcore"
"166","Laguna Roya",10.48819461,703.5,"Corynoneura spp.Laguna Roya","Corynoneura spp",349.9492399,20,"downcore"
"167","Laguna Roya",10.6605125,705.5,"Psectrocladius spp.Laguna Roya","Psectrocladius spp",299.108815,8,"downcore"
"168","Laguna Roya",10.6605125,705.5,"Microtendipes pedellus.Laguna Roya","Microtendipes pedellus",390.1905294,13,"downcore"
"169","Laguna Roya",10.6605125,705.5,"Chaoborus mandible.Laguna Roya","Chaoborus mandible",195.2116033,31,"downcore"
"170","Laguna Roya",10.6605125,705.5,"Tanypodinae.Laguna Roya","Tanypodinae",226.6238724,25,"downcore"
"171","Laguna Roya",10.6605125,705.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",223.7893658,35,"downcore"
"172","Laguna Roya",11.08411195,700.5,"Tanypodinae.Laguna Roya","Tanypodinae",307.4000292,25,"downcore"
"173","Laguna Roya",11.08411195,700.5,"Corynoneura spp.Laguna Roya","Corynoneura spp",270.9469849,20,"downcore"
"174","Laguna Roya",11.08411195,700.5,"Microtendipes pedellus.Laguna Roya","Microtendipes pedellus",236.5416044,13,"downcore"
"175","Laguna Roya",11.08411195,700.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",234.4474922,35,"downcore"
"176","Laguna Roya",11.08411195,700.5,"Paratanytarsus austriacus.Laguna Roya","Paratanytarsus austriacus",245.0947231,7,"downcore"
"177","Laguna Roya",11.08411195,700.5,"Psectrocladius spp.Laguna Roya","Psectrocladius spp",203.8896698,8,"downcore"
"178","Laguna Roya",11.08411195,700.5,"Chaoborus mandible.Laguna Roya","Chaoborus mandible",134.5374291,31,"downcore"
"179","Laguna Roya",11.08878033,718.5,"Chaoborus mandible.Laguna Roya","Chaoborus mandible",206.2292848,31,"downcore"
"180","Laguna Roya",11.08878033,718.5,"Corynoneura spp.Laguna Roya","Corynoneura spp",229.3330672,20,"downcore"
"181","Laguna Roya",11.08878033,718.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",225.6535056,35,"downcore"
"182","Laguna Roya",11.28523502,755.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",174.7672785,35,"downcore"
"183","Laguna Roya",11.28523502,755.5,"Pseudochironomus spp.Laguna Roya","Pseudochironomus spp",190.3220686,1,"downcore"
"184","Laguna Roya",11.28523502,755.5,"Chaoborus mandible.Laguna Roya","Chaoborus mandible",190.311037,31,"downcore"
"185","Laguna Roya",11.28523502,755.5,"Micropsectra radialis.Laguna Roya","Micropsectra radialis",210.8984568,11,"downcore"
"186","Laguna Roya",11.28523502,755.5,"Tanytarsus lugens.Laguna Roya","Tanytarsus lugens",267.4873283,17,"downcore"
"187","Laguna Roya",11.28523502,755.5,"Tanypodinae.Laguna Roya","Tanypodinae",283.4577398,25,"downcore"
"188","Laguna Roya",11.29607931,688.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",246.706326,35,"downcore"
"189","Laguna Roya",11.29607931,688.5,"Chaoborus mandible.Laguna Roya","Chaoborus mandible",173.7225965,31,"downcore"
"190","Laguna Roya",11.29607931,688.5,"Tanytarsus lugens.Laguna Roya","Tanytarsus lugens",402.3559123,17,"downcore"
"191","Laguna Roya",11.29607931,688.5,"Micropsectra radialis.Laguna Roya","Micropsectra radialis",185.6601198,11,"downcore"
"192","Laguna Roya",11.44878812,698.5,"Psectrocladius spp.Laguna Roya","Psectrocladius spp",528.9493499,8,"downcore"
"193","Laguna Roya",11.44878812,698.5,"Limnophyes type.Laguna Roya","Limnophyes type",173.0930993,5,"downcore"
"194","Laguna Roya",11.44878812,698.5,"Corynoneura spp.Laguna Roya","Corynoneura spp",355.5765554,20,"downcore"
"195","Laguna Roya",11.44878812,698.5,"Chaoborus mandible.Laguna Roya","Chaoborus mandible",137.5359117,31,"downcore"
"196","Laguna Roya",11.44878812,698.5,"Chironomus spp.Laguna Roya","Chironomus spp",561.1331212,9,"downcore"
"197","Laguna Roya",11.44878812,698.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",310.2083658,35,"downcore"
"198","Laguna Roya",11.44878812,698.5,"Tanytarsus lugens.Laguna Roya","Tanytarsus lugens",305.7009838,17,"downcore"
"199","Laguna Roya",11.44878812,698.5,"Pentaneurini spp.Laguna Roya","Pentaneurini spp",999.0982044,12,"downcore"
"200","Laguna Roya",11.44878812,698.5,"Tanypodinae.Laguna Roya","Tanypodinae",277.2222932,25,"downcore"
"201","Laguna Roya",11.46367055,720.5,"Micropsectra insignilobus.Laguna Roya","Micropsectra insignilobus",221.3096087,35,"downcore"
