Absolute.depth,taxa
735.5,Micropsectra insignilobus
735.5,Chaoborus mandible
735.5,Chaoborus mandible
735.5,Chaoborus mandible
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Blurry specimens
735.5,Blurry specimens
735.5,Blurry specimens
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Corynoneura spp
735.5,Corynoneura spp
735.5,Corynoneura spp
735.5,Chaoborus mandible
735.5,Chaoborus mandible
735.5,Chaoborus mandible
735.5,unsure
735.5,unsure
735.5,unsure
735.5,Chaoborus th
735.5,Chaoborus th
735.5,Chaoborus th
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Chaoborus th
735.5,Chaoborus th
735.5,Chaoborus th
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Tanytarsus lugens
735.5,Tanytarsus lugens
735.5,Tanytarsus lugens
735.5,Corynoneura spp
735.5,Corynoneura spp
735.5,Corynoneura spp
735.5,Chaoborus mandible
735.5,Chaoborus mandible
735.5,Chaoborus mandible
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Acari spp
735.5,Acari spp
735.5,Acari spp
735.5,Chironomus spp
735.5,Chironomus spp
735.5,Chironomus spp
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Corynoneura spp
735.5,Corynoneura spp
735.5,Corynoneura spp
735.5,Particles
735.5,Particles
735.5,Particles
735.5,Tanytarsus lugens
735.5,Tanytarsus lugens
735.5,Tanytarsus lugens
735.5,Corynoneura spp
735.5,Corynoneura spp
735.5,Corynoneura spp
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Tanypodinae
735.5,Tanypodinae
735.5,Tanypodinae
735.5,Fragmented hc
735.5,Fragmented hc
735.5,Fragmented hc
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Pentaneurini spp
735.5,Pentaneurini spp
735.5,Pentaneurini spp
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
735.5,Micropsectra insignilobus
740.5,Micropsectra radialis
740.5,Micropsectra radialis
740.5,Micropsectra radialis
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Microtendipes pedellus
740.5,Microtendipes pedellus
740.5,Microtendipes pedellus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Chaoborus mandible
740.5,Chaoborus mandible
740.5,Chaoborus mandible
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Blurry specimens
740.5,Blurry specimens
740.5,Blurry specimens
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Micropsectra insignilobus
740.5,Fragmented hc
740.5,Fragmented hc
740.5,Fragmented hc
740.5,Tanytarsus lugens
740.5,Tanytarsus lugens
740.5,Tanytarsus lugens
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chironomus spp
745.5,Chironomus spp
745.5,Chironomus spp
745.5,Blurry specimens
745.5,Blurry specimens
745.5,Blurry specimens
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,unsure
745.5,unsure
745.5,unsure
745.5,Microtendipes pedellus
745.5,Microtendipes pedellus
745.5,Microtendipes pedellus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Chaoborus th
745.5,Chaoborus th
745.5,Chaoborus th
745.5,Mentum
745.5,Mentum
745.5,Mentum
745.5,Microtendipes pedellus
745.5,Microtendipes pedellus
745.5,Microtendipes pedellus
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Micropsectra insignilobus
745.5,Fragmented hc
745.5,Fragmented hc
745.5,Fragmented hc
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,Corynoneura spp
745.5,unsure
745.5,unsure
745.5,unsure
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus mandible
745.5,Chaoborus th
745.5,Chaoborus th
745.5,Chaoborus th
745.5,Chaoborus th
745.5,Chaoborus th
745.5,Chaoborus th
745.5,unsure
745.5,unsure
745.5,unsure
745.5,Chironomus spp
745.5,Chironomus spp
745.5,Chironomus spp
745.5,Tanytarsus lugens
745.5,Tanytarsus lugens
745.5,Tanytarsus lugens
745.5,Fragmented hc
745.5,Fragmented hc
745.5,Fragmented hc
755.5,Micropsectra insignilobus
